Time,Total arrivals
4/1/1999,601900
5/1/1999,550000
6/1/1999,566700
7/1/1999,734900
8/1/1999,645400
9/1/1999,674200
10/1/1999,776200
11/1/1999,686400
12/1/1999,696400
1/1/2000,753400
2/1/2000,708900
3/1/2000,663500
4/1/2000,707500
5/1/2000,594500
6/1/2000,615300
7/1/2000,794200
8/1/2000,679400
9/1/2000,753300
10/1/2000,821600
11/1/2000,759500
12/1/2000,820600
1/1/2001,874800
2/1/2001,733100
3/1/2001,707600
4/1/2001,719300
5/1/2001,603000
6/1/2001,656300
7/1/2001,835300
8/1/2001,697900
9/1/2001,705900
10/1/2001,750300
11/1/2001,625200
12/1/2001,753200
1/1/2002,787600
2/1/2002,708100
3/1/2002,729800
4/1/2002,649900
5/1/2002,598300
6/1/2002,625000
7/1/2002,802000
8/1/2002,691600
9/1/2002,692100
10/1/2002,828800
11/1/2002,714900
12/1/2002,769800
1/1/2003,838900
2/1/2003,720600
3/1/2003,672800
4/1/2003,574100
5/1/2003,487900
6/1/2003,545900
7/1/2003,771500
8/1/2003,675600
9/1/2003,727000
10/1/2003,839300
11/1/2003,774100
12/1/2003,837500
1/1/2004,930200
2/1/2004,815100
3/1/2004,754000
4/1/2004,770600
5/1/2004,671200
6/1/2004,705700
7/1/2004,952600
8/1/2004,785000
9/1/2004,812700
10/1/2004,951700
11/1/2004,838200
12/1/2004,919500
1/1/2005,1073800
2/1/2005,879100
3/1/2005,882600
4/1/2005,809600
5/1/2005,708700
6/1/2005,763400
7/1/2005,1031900
8/1/2005,847800
9/1/2005,893000
10/1/2005,989400
11/1/2005,842200
12/1/2005,944700
1/1/2006,1092400
2/1/2006,892900
3/1/2006,845900
4/1/2006,849400
5/1/2006,722600
6/1/2006,779600
7/1/2006,1036200
8/1/2006,845400
9/1/2006,909100
10/1/2006,1035500
11/1/2006,893800
12/1/2006,1007600
1/1/2007,1135600
2/1/2007,929600
3/1/2007,945300
4/1/2007,909700
5/1/2007,780000
6/1/2007,841600
7/1/2007,1085800
8/1/2007,926300
9/1/2007,956600
10/1/2007,1107600
11/1/2007,964100
12/1/2007,1031700
1/1/2008,1208100
2/1/2008,1039500
3/1/2008,998200
4/1/2008,929800
5/1/2008,846000
6/1/2008,881300
7/1/2008,1163800
8/1/2008,964100
9/1/2008,959200
10/1/2008,1129100
11/1/2008,962200
12/1/2008,1033300
1/1/2009,1238600
2/1/2009,998900
3/1/2009,954200
4/1/2009,982100
5/1/2009,857200
6/1/2009,862700
7/1/2009,1155000
8/1/2009,1009800
9/1/2009,1045300
10/1/2009,1219100
11/1/2009,1033100
12/1/2009,1138500
1/1/2010,1352000
2/1/2010,1099700
3/1/2010,1063900
4/1/2010,1035800
5/1/2010,905900
6/1/2010,964900
7/1/2010,1309700
8/1/2010,1090000
9/1/2010,1151000
10/1/2010,1308300
11/1/2010,1098800
12/1/2010,1192700
1/1/2011,1459700
2/1/2011,1166400
3/1/2011,1067900
4/1/2011,1102900
5/1/2011,1034900
6/1/2011,996700
7/1/2011,1382300
8/1/2011,1154900
9/1/2011,1178800
10/1/2011,1389300
11/1/2011,1158000
12/1/2011,1233200
1/1/2012,1538000
2/1/2012,1234500
3/1/2012,1156100
4/1/2012,1194600
5/1/2012,1014800
6/1/2012,1097400
7/1/2012,1429300
8/1/2012,1203700
9/1/2012,1252500
10/1/2012,1454300
11/1/2012,1222100
12/1/2012,1323100
1/1/2013,1578400
2/1/2013,1261400
3/1/2013,1239500
4/1/2013,1226800
5/1/2013,1097900
6/1/2013,1161600
7/1/2013,1511200
8/1/2013,1304700
9/1/2013,1325700
10/1/2013,1532800
11/1/2013,1283800
12/1/2013,1422300
1/1/2014,1744900
2/1/2014,1339000
3/1/2014,1280100
4/1/2014,1331200
5/1/2014,1187500
